,id,friends_count,favorites_count,followers_count,friends_to_followers_ratio,is_bot,mentions_per_tweet,hashtags_per_tweet,urls_per_tweet,retweets_per_tweet,favorites_per_tweet,frequ_minutes_tweet
0,80479674,255,1,19,13.421052631578947,1,0.10344827586206896,0.0,0.5172413793103449,0.0,0.034482758620689655,4460.1790229885
1,82487179,866,138,208,4.163461538461538,1,0.6413119330076762,0.17096999302163293,0.09141660851360782,157.2721563154222,1.7808792742498256,654.5042509886
2,105830531,962,8,59,16.305084745762713,1,0.4,0.05,0.5,0.575,0.125,8490.623541666666
3,114488344,49,4,7,7.0,1,0.5573770491803278,0.0,0.5245901639344263,0.01639344262295082,0.0,13440.565983606552
4,123222267,521,61,60,8.683333333333334,1,0.8767820773930753,0.48778004073319753,0.44908350305498984,25.616089613034625,0.24338085539714868,606.2138492871667
5,144602443,1075,3,141,7.624113475177305,1,0.6129032258064516,0.016129032258064516,0.04516129032258064,0.16774193548387098,0.012903225806451613,1762.4415591397835
6,212958140,342,0,16,21.375,1,0.5909090909090909,0.29545454545454547,0.0,59.93181818181818,8.477272727272727,1931.3615530303
7,278082770,287,0,14,20.5,1,0.9014084507042254,0.09859154929577464,0.04225352112676056,5.084507042253521,0.2676056338028169,629.2733568075
8,367651000,122,0,0,inf,1,0.0,0.0,0.0,0.0,0.0,0.0
9,370098498,588,16,4,147.0,1,1.5972644376899696,1.0243161094224924,0.6656534954407295,8306.655015197568,1219.434650455927,133.27893870313332
10,599789901,228,0,4,57.0,1,0.0,0.0,0.0,0.0,0.0,
11,10935572,1398,7,171,8.175438596491228,1,0.35251798561151076,0.048561151079136694,0.18345323741007194,14.879496402877697,0.9424460431654677,2561.6346372901667
12,16119337,564,10,9,62.666666666666664,1,0.14084507042253522,1.0,0.03380281690140845,1844.0366197183098,0.01971830985915493,405.5526760563333
13,16753788,527,0,91,5.791208791208791,1,0.3,0.23333333333333334,0.26666666666666666,0.0,0.0,38004.60777777776
14,17640121,361,0,17,21.235294117647058,1,0.65,0.25,0.05,52.6,5.1,48533.35958333334
15,17656600,836,92,583,1.4339622641509433,1,1.2254901960784315,0.35294117647058826,0.34967320261437906,55.39869281045752,4.794117647058823,3536.6767973856167
16,19230427,466,1,13,35.84615384615385,1,0.6979166666666666,0.19791666666666666,0.03125,44.572916666666664,2.3229166666666665,5521.202256944433
17,19951698,901,13,63,14.301587301587302,1,0.6010362694300518,0.45077720207253885,0.2538860103626943,2262.4870466321245,0.3160621761658031,1174.2212435233
18,20726266,599,0,6,99.83333333333333,1,0.0,0.0,0.0,0.0,0.0,
19,20731719,1009,0,18,56.05555555555556,1,0.5068807339449541,0.0,0.9931192660550459,1.463302752293578,0.0,2554.0022362385166
20,21196037,484,0,130,3.723076923076923,1,0.08974358974358974,0.0,0.038461538461538464,33.69230769230769,5.923076923076923,12906.614423076917
21,21365952,595,0,9,66.11111111111111,1,0.0,0.0,0.0,0.0,0.0,
22,21375100,1199,7,271,4.424354243542435,1,0.9128440366972477,0.18807339449541285,0.05963302752293578,471.0091743119266,7.853211009174312,4821.819495412833
23,21706899,549,0,5,109.8,1,0.0,0.0,0.0,0.0,0.0,0.0
24,21972434,1031,0,19,54.26315789473684,1,0.0,0.0,0.0,0.0,0.0,
25,25836383,1286,6,547,2.351005484460695,1,0.5171339563862928,0.03271028037383177,0.2834890965732087,79.35046728971963,0.09345794392523364,1597.6240394600168
26,26778002,2004,2,492,4.073170731707317,1,0.7823490378234904,0.21035169210351692,0.5773059057730591,44.076310550763104,4.3271400132714,717.47577969475
27,27662686,577,3,28,20.607142857142858,1,0.8148148148148148,0.018518518518518517,0.0,0.018518518518518517,0.018518518518518517,11361.153395061718
28,28222509,475,0,3,158.33333333333334,1,0.0,0.0,0.0,0.0,0.0,
29,28265406,559,0,10,55.9,1,0.0,0.0,0.0,0.0,0.0,
30,28843786,568,0,45,12.622222222222222,1,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.7142857142857143,0.2857142857142857,149400.2880952381
31,29940598,385,0,8,48.125,1,0.3225806451612903,0.22580645161290322,0.1935483870967742,0.11290322580645161,0.0,14803.068145161284
32,30428221,847,14,76,11.144736842105264,1,0.8165784832451499,0.48500881834215165,0.047619047619047616,277.336860670194,19.656084656084655,1876.5414462080998
33,30993019,557,0,3,185.66666666666666,1,0.0,0.0,0.0,0.0,0.0,
34,31776715,556,1,9,61.77777777777778,1,0.6,0.0,0.0,0.0,0.0,68866.25499999999
35,32179000,483,0,58,8.327586206896552,1,0.25,0.0,0.25,0.08333333333333333,0.0,80462.99444444446
36,33438880,459,0,17,27.0,1,0.14285714285714285,0.0,0.0,0.0,0.0,20859.032142857133
37,33869550,344,3,16,21.5,1,1.5,0.5,0.0,727.5,217.5,12843.670833333334
38,34461690,582,0,14,41.57142857142857,1,0.0,0.0,0.0,0.0,0.0,0.0
39,34589722,589,0,11,53.54545454545455,1,1.0,0.0,0.0,0.0,0.0,0.0
40,34762630,798,0,66,12.090909090909092,1,0.10344827586206896,0.0,0.10344827586206896,0.0,0.0,20566.458908045966
41,35008954,538,12,5,107.6,1,0.024242424242424242,1.003030303030303,0.015151515151515152,2316.8030303030305,0.0,632.2735353535334
42,35959749,618,2,112,5.517857142857143,1,0.33620689655172414,0.05172413793103448,0.3448275862068966,0.16379310344827586,0.1206896551724138,9020.62040229885
43,36299291,711,4,67,10.611940298507463,1,0.20998632010943913,0.06839945280437756,0.09575923392612859,8.41655266757866,0.027359781121751026,683.4450752393834
44,36943266,681,4,12,56.75,1,0.1896551724137931,0.034482758620689655,0.034482758620689655,446.7068965517241,119.87931034482759,14798.589511494249
45,37384589,693,597,57,12.157894736842104,1,1.438377535101404,0.8970358814352574,0.62402496099844,7423.435257410297,1200.8127925117005,1465.7141835673333
46,38021637,604,0,11,54.90909090909091,1,0.0,0.0,0.0,0.0,0.0,0.0
47,38520305,324,20,8,40.5,1,0.30612244897959184,0.8095238095238095,0.10884353741496598,4682.959183673469,944.0340136054422,6944.409807256234
48,39321660,549,16,12,45.75,1,0.02564102564102564,1.0320512820512822,0.008547008547008548,1162.275641025641,0.0,536.2810541310499
49,39328305,425,0,109,3.8990825688073394,1,0.7888888888888889,0.6666666666666666,0.2222222222222222,14.877777777777778,2.6,10605.651388888884
50,39413961,596,0,9,66.22222222222223,1,0.0,0.0,0.0,0.0,0.0,
51,40010436,188,0,9,20.88888888888889,1,0.18181818181818182,0.0,0.8181818181818182,0.0,0.0,71583.72575757575
52,42570158,1249,0,55,22.70909090909091,1,0.5294117647058824,0.0,0.23529411764705882,2.9411764705882355,1.411764705882353,58234.301960784316
53,44091292,535,1,18,29.72222222222222,1,0.06666666666666667,0.1,0.16666666666666666,0.03333333333333333,0.0,31791.03583333333
54,45107336,1153,7,164,7.030487804878049,1,0.459866220735786,0.27591973244147155,0.06856187290969899,389.40301003344484,96.57190635451505,1348.6741081382331
55,45954898,534,0,6,89.0,1,0.0,0.0,0.0,0.0,0.0,
56,46071929,406,0,37,10.972972972972974,1,0.4375,0.0,0.0625,0.0,0.0,61166.2203125
57,46553408,593,0,3,197.66666666666666,1,0.0,0.0,0.75,0.0,0.0,223899.85208333333
58,46609919,368,0,6,61.333333333333336,1,0.0,0.0,0.0,0.0,0.0,
59,47497854,1002,0,8,125.25,1,0.0,0.0,0.0,0.0,0.0,0.0
60,47722321,435,0,7,62.142857142857146,1,0.0,0.0,1.0,0.0,0.0,5739.8157407407325
61,48109055,993,0,17,58.411764705882355,1,0.0,0.0,0.0,0.0,0.0,
62,48336195,537,0,10,53.7,1,0.0,0.0,0.0,0.0,0.0,0.0
