,Unnamed: 0,favorites_count,favorites_per_tweet,followers_count,frequ_minutes_tweet,friends_count,friends_to_followers_ratio,hashtags_per_tweet,id,is_bot,mentions_per_tweet,retweets_per_tweet,urls_per_tweet
0,0,145,0.02158979391560353,5470,69.61962163339999,2385,0.4360146252285192,0.150474321229964,3610511,0,0.4988550866862938,8.992149165848872,0.8904154399738305
1,1,9,0.04379795396419437,506,992.6565057544667,381,0.7529644268774703,0.19053708439897696,5656162,0,0.6566496163682864,14.747122762148337,0.0610613810741688
2,2,323,0.12159594680177327,264,153.3427274646333,87,0.3295454545454545,0.15896136795440152,5682702,0,0.7916402786573781,35.85718809373021,0.1649778340721976
3,3,1118,0.08876694641704326,640,95.9144986012333,622,0.971875,0.11136216914138154,6067292,0,0.5096836668818593,19.066171723692705,0.19561007101355712
4,4,13,0.0019880715705765406,62,1534.0150182239834,64,1.032258064516129,0.11083499005964216,6015122,0,0.3727634194831014,27.97216699801193,0.26043737574552683
5,5,53,0.07211988760536997,138,166.37435737328332,179,1.2971014492753623,0.7399313143927568,6140012,0,0.7761473618482673,9.334998438963472,0.05432407118326569
6,6,2,0.013524936601859678,128,2598.9111298957337,168,1.3125,0.14877430262045646,6134312,0,0.4894336432797971,36.11918850380389,0.35418427726120033
7,7,597,0.8852353320438426,1062,75.21049860305,1770,1.6666666666666667,0.15506125080593167,6684602,0,0.3326885880077369,5.470019342359768,0.09284332688588008
8,8,590,0.3610664953421137,23368,144.68752543098333,958,0.040996234166381366,0.536781239961452,7046912,0,1.5377449405717958,14.017667844522967,0.2894314166398972
9,9,693,0.11016949152542373,760,128.43447373926668,712,0.936842105263158,0.4312617702448211,7470952,0,1.0530445699937223,15.014752040175766,0.17827997489014438
10,10,224,0.053376906318082784,477,1075.1616920842332,218,0.4570230607966457,0.0570079883805374,8072492,0,0.28503994190268706,4.767247639796659,0.02287581699346405
11,11,914,0.034218100415733935,1390,91.18428205946665,1177,0.8467625899280575,0.5065558042852575,8291932,0,0.1746082507195395,3.3082826990725938,0.3105212663895107
12,12,47,0.007089912987431519,314,227.66569986035,338,1.0764331210191085,0.23525620367386396,8858022,0,0.7631324524653561,279.71930389945214,0.7147921366419594
13,13,25,0.0020876826722338203,97,2013.6525168174333,203,2.0927835051546397,0.8691718858733473,8927532,0,0.21781489213639527,1.6604036186499653,0.5093945720250522
14,14,45,0.045454545454545456,289,1692.7591686091666,1930,6.678200692041522,0.5064102564102564,8933252,0,0.9656177156177156,24.578671328671327,0.04370629370629369
15,15,36,0.0075,93,7071.056583333334,78,0.8387096774193549,0.53,9351052,0,0.7675,167.56,0.3025
16,16,44,0.14448793215916506,2242,84.70868123505002,918,0.4094558429973238,0.5316373124592303,9564632,0,1.5874103065883889,4.499673842139597,0.3176777560339204
17,17,199,0.030832803560076286,689,135.30515999151666,891,1.293178519593614,0.3645899554990464,9939012,0,0.7549268912905277,15.266369993642721,0.9367450731087096
18,18,100,0.07068607068607069,505,258.8192942942833,571,1.1306930693069306,0.6749826749826751,9993142,0,1.1250866250866252,13.543659043659046,0.10533610533610534
19,19,89,0.07922077922077922,81,3646.9177705627667,181,2.2345679012345685,0.7220779220779221,10492262,0,0.8246753246753247,9.472727272727274,0.08441558441558443
20,20,204,0.009052924791086351,128,1934.5042130919169,371,2.8984375,0.26740947075208915,11176152,0,0.8864902506963789,266.0682451253482,0.1149025069637883
21,21,346,0.05015974440894569,899,145.97233759318334,305,0.339265850945495,0.8376996805111822,13260592,0,1.1690095846645367,17.08338658146965,0.3201277955271565
22,22,1,0.02202785876255264,375,685.3721898283001,1039,2.7706666666666666,0.4965986394557823,14057516,0,0.8241010689990281,31.129899578879172,0.22189828312277293
23,23,22,0.11464968152866242,46,16805.808811040333,146,3.1739130434782608,1.1464968152866242,14112759,0,0.7579617834394905,43.98726114649681,0.19745222929936307
